New SCB Control ID	New SCB Sort	SCB Control Category	Control Description	Control Objective	Test Procedure Summary	Sampling Required?	MCL V3.0 Mapped?	MCLV3.0 Reference	ISF Mapped?	ISF Reference	NIST Sp-800-53 Rev 5 Mapped?	NIST Sp-800-53 Rev 5 Reference 	CIS Mapped?	CIS Reference 
ACC-02	11	Access Control	For users which no longer require logical access to SCB data (e.g. resignations, terminations and/or transfers), system access is removed within a timely manner.	Logical system access is removed in a timely manner to ensure that SCB data is protected from unauthorised use.	"ACC-02.01 - Documentation Requirements:
(a) Please provide formal documentation* (e.g. policy/procedure/standard) which defines your organisations processes to revoke identities and credentials. 
 
*Note: Formal documentation includes any document which is periodically reviewed and approved by senior management and is distributed or made available to employees (i.e. through email, training or posted to Intranet site). 
 
ACC-02.02 - Authorisation of user accounts - movers (sampling required)
(a) Please provide a list of movers (i.e. employees transferring roles within the organisation) for the past 12 month period. 
 
(b) For a sample of movers, please provide evidence that:
 i) Relevant logical access permissions are removed within 24 hours of the employee's last working day in the legacy role
 ii) If applicable, any organisational assets (mobiles devices, hardware tokens, laptops, physical access badges, etc.) have been surrendered on or before the employees last working day in the legacy role
 iii) If applicable, any Generic and Service and/or System Accounts held by the employee have been re-assigned to an appropriate new owner.
 
ACC-02.03 - Authorisation of user accounts - leavers (sampling required)
(a) Please provide a list of leavers (i.e. resigned / terminated employees) for the past 12 month period. 
 
(b) For a sample of leavers, please provide evidence that:
 i) HR is notified (email notification or screenshot of updated HR system details is sufficient) of the employee's last working day at the organisation 
 ii) Relevant logical access permissions are removed within 24 hours of the employee's last working day at the organisation 
 iii) Any organisational assets (mobiles devices, hardware tokens, laptops, physical access badges, etc.) have been surrendered on or before the employees last working day at the organisation 
 iv) If applicable, any Generic and Service and/or System Accounts held by the employee have been re-assigned to an appropriate new owner.

ACC-02.04 - Disabling of inactive user accounts
(a) Please provide evidence to demonstrate that your organisation configures systems to disable users accounts If the account has been inactive for 90 days


ACC-02.05 - Any control weaknesses identified?
(a) Please confirm whether any control weaknesses or failures has been identified for this control within the past 12 months (e.g. through testing or a security event).

If yes, please provide the following information:
 i) date and time of the testing / event;
 ii) the nature of the testing / event;
 iii) the data/systems involved in the testing / event;
 iv) root cause and lessons learned (i.e. has the organisation identified the cause of the issue/event); and
 v) remediation activities that have occurred post-testing / event. 
"	Yes - Areas of this control will require the sampling of evidence. Please liaise with the assessor and SCB Risk Manager to determine the appropriate sample size.	No		Yes		Yes			
ACC-03	12	Access Control	The access rights of all users with logical access to applications and systems that process, store, or transmit SCB data including external parties (e.g. Cloud Service Provider administrators, independent auditors, vendor technical support personnel) are reviewed on a periodic basis. 	Existing system access is periodically reviewed to ensure access rights assigned are still required and commensurate with the job responsibilities assigned to each user.	"ACC-03.01 - Documentation Requirements:
(a) Please provide formal documentation* (e.g. policy/procedure/standard) of your organisation's processes to managing identities and credentials to ensure the organisation periodically recertifies (e.g. audits) existing identities and credentials.
 
*Note: Formal documentation includes any document which is periodically reviewed and approved by senior management and is distributed or made available to employees (i.e. through email, training or posted to Intranet site). 
 
ACC-03.02 - Periodic user access reviews (sampling required)
(a) Please provide a sample of logical access reviews to demonstrate access recertifications are performed at least every six months. The logical access review should cover the following;
 i) Date when the user access review was performed;
 ii) User access rights were validated for each user;
 iii) Users that no longer require access to SCB data were identified and removed (e.g. if the user has changed roles or left the organisation);
 iv) Dormant accounts were identified and removed if no longer needed; and
 v) For any changes identified during the logical access review, please provide evidence to validate that this change has been performed (e.g. access request change ticket)


ACC-03.03 - Any control weaknesses identified?
(a) Please confirm whether any control weaknesses or failures has been identified for this control within the past 12 months (e.g. through testing or a security event).

If yes, please provide the following information:
 i) date and time of the testing / event;
 ii) the nature of the testing / event;
 iii) the data/systems involved in the testing / event;
 iv) root cause and lessons learned (i.e. has the organisation identified the cause of the issue/event); and
 v) remediation activities that have occurred post-testing / event. 
"	Yes - Areas of this control will require the sampling of evidence. Please liaise with the assessor and SCB Risk Manager to determine the appropriate sample size.	Yes		Yes		Yes			
ACC-04	13	Access Control	Remote access is managed.	To protect from unauthorised access of SCB data remotely.	"ACC-04.01 - Documentation Requirements:
(a) Please provide formal documentation* (e.g. policy/procedure/standard) of your organisation's processes to manage remotes access to the corporate environment.
 
*Note: Formal documentation includes any document which is periodically reviewed and approved by senior management and is distributed or made available to employees (i.e. through email, training or posted to Intranet site). 
 
ACC-04.02 - Authorisation of remote access
(a) Please provide information as to whether remote access to systems containing SCB data is permitted outside the controlled corporate facility. 
 
Note: If no remote connectivity is allowed, the remaining items do not need to be provided. 
 
(b) If remote connectivity is allowed, please provide information regarding:
 i) The type of remote connectivity (e.g. VPN, Remote Desktop Protocol, etc.)
 ii) The business justification for remote connectivity
 iii) The in-scope data elements and systems the remote user(s) will have access to
 
(c) Please provide the list of users with remote access to in-scope systems containing SCB data. 
 
ACC-04.03 - Multifactor authentication
(a) Please provide information regarding your organisation's use of multifactor authentication (MFA) to authenticate remote access users to SCB data (if applicable). 
 
(b) If MFA is used, please provide evidence of the authentication mechanism used (e.g. a screenshot of the tool console) demonstrating enforcement of MFA for all remote connections.
 
ACC-04.04 - Remote session timeout
(a) Please provide evidence (e.g. remote session timeout settings) to demonstrate a remote session inactivity timeout, after which re-authentication is required to login in again. 
 
For example: organisations use a management console of an enterprise solution (e.g. Cisco AnyConnect) to centrally manage remote connectivity settings such as session timeout.
 
ACC-04.05 - Encryption of remote connections
(a) Please provide information to demonstrate what encryption algorithms are used protect information transmitted over remote connections.
 
(b) Please provide evidence of the level of encryption applied to the remote access network connections (e.g. TLS 1.2 or 1.3).


ACC-04.06 - Any control weaknesses identified?
(a) Please confirm whether any control weaknesses or failures has been identified for this control within the past 12 months (e.g. through testing or a security event).

If yes, please provide the following information:
 i) date and time of the testing / event;
 ii) the nature of the testing / event;
 iii) the data/systems involved in the testing / event;
 iv) root cause and lessons learned (i.e. has the organisation identified the cause of the issue/event); and
 v) remediation activities that have occurred post-testing / event. "	No	Yes		Yes		Yes			
ACC-05	14	Access Control	Access permissions and authorizations are managed, incorporating the principles of least privilege and segregation of duties.	The principle of 'least privilege' is considered in establishing segregation of duties when granting access to applications and systems that process, store or transmit SCB data.	"ACC-05.01 - Documentation Requirements:
(a) Please provide formal documentation* (e.g. policy/procedure/standard) of your organisation's processes on Access Management which describes your organisation's approach to managing access permissions and authorisations including the incorporation of the principles of least privilege and segregation of duties. 
 
*Note: Formal documentation includes any document which is periodically reviewed and approved by senior management and is distributed or made available to employees (i.e. through email, training or posted to Intranet site). 
 
ACC-05.02 - Segregation of duties - general 
(a) Please provide information regarding how the organisation has applied the principle of Segregation of Duties within the access management processes. Specifically, please provide information regarding whether users with the ability to approve changes (e.g. approve an access request for SCB data, approve firewall rule change) do not also have the ability to make changes (e.g. provision accounts which access SCB data, update firewall rule set). 
 
(b) Please provide information whether your organisation undertakes any independent reviews of the existing Segregation of Duties combinations or rule-sets.
 
ACC-05.03 - Segregation of duties - separation of accounts (sampling required)
(a) Please provide a full list of accounts with privileged access to systems which process, store or transmit SCB data.
 
(b) For a sample of these accounts, please provide evidence that the owner of the account is provisioned a separate account which is used for all non-administrative activities (checking email, surfing the web, etc.)


ACC-05.04 - Any control weaknesses identified?
(a) Please confirm whether any control weaknesses or failures has been identified for this control within the past 12 months (e.g. through testing or a security event).

If yes, please provide the following information:
 i) date and time of the testing / event;
 ii) the nature of the testing / event;
 iii) the data/systems involved in the testing / event;
 iv) root cause and lessons learned (i.e. has the organisation identified the cause of the issue/event); and
 v) remediation activities that have occurred post-testing / event. "	Yes - Areas of this control will require the sampling of evidence. Please liaise with the assessor and SCB Risk Manager to determine the appropriate sample size.	Yes		Yes		Yes			
ACC-06	15	Access Control	Access to privileged accounts of applications and systems that process, store, or transmit SCB data are restricted to authorised users only.	Administrative access privileges are restricted to an appropriate set of users to ensure escalated access permissions are not accessible by unauthorised users.	"ACC-06.01 - Documentation Requirements:
(a) Please provide formal documentation* (e.g. policy/procedure/standard) of your organisation's processes on access management which describes how you manage privileged access accounts.
 
*Note: Formal documentation includes any document which is periodically reviewed and approved by senior management and is distributed or made available to employees (i.e. through email, training or posted to Intranet site). 
 
ACC-06.02 - Privileged access management
(a) Please provide information to demonstrate that your organisation has recorded all privileged access roles that exist within the organisation (e.g. Domain Administrator, Database Administrator).
 
(b) Please provide information to demonstrate how privileged access roles are created and managed, including:
 i) Roles created for privileged users reflect the principle of Least Privilege, e.g. through Role Based Access Groups
 ii) Privileged access roles are reviewed on a regular basis based on the principle of Least Privilege.

Applicable for South Korea only
 iii) Verify of personal credit information processing system, stores access records at least once a month (e.g. date and time of handling personal credit information and the details of personal credit information handled) 

(c) Please provide information to demonstrate how your organisation secures privileged accounts when not in use (e.g. through use of a Privileged Account Management (PAM) solution or other methods).
 
ACC-06.03 - Service and system accounts (sampling required)
Note: Service accounts are accounts used to interact with the operating system. System accounts are accounts used by applications to interact with other applications, like databases.

(a) Please provide information regarding how the organisation manages its Service and System accounts.

(b) Please provide a full list of Service and System accounts present on services and systems that process, store or transmit SCB data. 
 
(c) For a sample of items selected from the list above, please provide evidence to demonstrate:
 i) a business justification exists for each account
 ii) the owner of each account
 iii) the expected activities of each account (i.e. the function of the Service and System account)

(d) Please provide evidence on the Service and System accounts which are unable to be removed/deleted. 
Please stated as Not Applicable if  irrelevant Service and System account that can be removed/deleted.
 
ACC-06.04 - Privileged user activities
(a) Please provide information as to whether Privileged User activity logs are made available for review by the appropriate personnel whenever a change is carried out in the Information Systems. 


ACC-06.05 - Any control weaknesses identified?
(a) Please confirm whether any control weaknesses or failures has been identified for this control within the past 12 months (e.g. through testing or a security event).

If yes, please provide the following information:
 i) date and time of the testing / event;
 ii) the nature of the testing / event;
 iii) the data/systems involved in the testing / event;
 iv) root cause and lessons learned (i.e. has the organisation identified the cause of the issue/event); and
 v) remediation activities that have occurred post-testing / event. "	Yes - Areas of this control will require the sampling of evidence. Please liaise with the assessor and SCB Risk Manager to determine the appropriate sample size.	Yes		Yes		Yes			
ACC-07	16	Access Control	Identities are proofed and bound to credentials, and asserted in interactions.	The ability to bind identities to credentials enables an organisation to validate the authorization level of a user before granting access to its systems.	"ACC-07.01 - Documentation Requirements:
(a) Please provide formal documentation* (e.g. policy/procedure/standard) of your organisation's process for identity and access management to ensure the organisation authorises and authenticates system access using unique IDs.
 
*Note: Formal documentation includes any document which is periodically reviewed and approved by senior management and is distributed or made available to employees (i.e. through email, training or posted to Intranet site). 
 
ACC-07.02 - Unique identifiers
(a) Please provide a complete user access listing for each system that accesses, stores or processes SCB data.

(b) Please provide information as to whether your organisation assigns each employee a unique user account, and whether the use of shared accounts is prohibited. 
 
(c) If the use of shared accounts is required for valid business purposes, please provide evidence to demonstrate how user activities performed by the account can be tied back to a specific individual.


ACC-07.03 - Any control weaknesses identified?
(a) Please confirm whether any control weaknesses or failures has been identified for this control within the past 12 months (e.g. through testing or a security event).

If yes, please provide the following information:
 i) date and time of the testing / event;
 ii) the nature of the testing / event;
 iii) the data/systems involved in the testing / event;
 iv) root cause and lessons learned (i.e. has the organisation identified the cause of the issue/event); and
 v) remediation activities that have occurred post-testing / event. "	No	No		Yes		Yes			
ACC-08	17	Access Control	Users, devices, and other assets are authenticated (e.g., single-factor, multifactor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organisational risks).	Users, devices, and other assets are authenticated commensurate with the risk of the transaction, to ensure that SCB data is adequately protected.	"ACC-08.01 - Documentation Requirements:
(a) Please provide formal documentation* (e.g. policy/procedure/standard) of your organisation's process to identity and access management to ensure the organisation authenticates users.
 
*Note: Formal documentation includes any document which is periodically reviewed and approved by senior management and is distributed or made available to employees (i.e. through email, training or posted to Intranet site). 
 
ACC-08.02 - Authentication enforced
(a) Please provide information regarding your processes and supporting technologies used to authenticate users to systems. (e.g. authentications, passwords, PINs, MFA). The information should comprise the following aspects:
 i) Authentication is required prior to access being granted
 ii) Passwords, PINs, or any such authentication values in clear text are not displayed, stored and/or transmitted;
 iii) Specific error or help messages that would facilitate an unauthorised access to succeed are not displayed;
 iv) Multifactor authentication is required for all administrator accounts (specifically, network administrators and domain administrators)
Applicable for South Korea only
 v) Multi-factor authentication (MFA) is implemented for privileged/administrator account access.

Note: APIs should ONLY be considered in the event that the organisation utilises their own internally developed API to transmit SCB data outside of the organisation's network.

ACC-08.03 - Password parameters
(a) Please provide evidence of the password management settings (e.g. Active Directory/GPO settings) enforced on systems which access, process, store, or transmit SCB data, including to any APIs. The settings should comprise the following aspects:
 i) Minimum characters
 ii) Password rotation/expiry
 iii) Password reuse/history
 iv) Lockout/maximum number of failed attempts allowed
 v) Complexity requirements (e.g. alphanumeric, special characters) 
 vi) Users are forced to change their default password upon initial login
 vii) Passwords are masked when entered 
 viii) Idle timeout/maximum idle time allowed before user is forced to re-authenticate
Applicable for South Korea only
 viii) Restrict to 5 login attempts when user access to information processing system 

(b) Please provide information on how your organisation ensures that passwords for shared administrative accounts are unique and not reused (e.g. enforced through LAPs, Password Vaulting, etc).


ACC-08.04 - Any control weaknesses identified?
(a) Please confirm whether any control weaknesses or failures has been identified for this control within the past 12 months (e.g. through testing or a security event).

If yes, please provide the following information:
 i) date and time of the testing / event;
 ii) the nature of the testing / event;
 iii) the data/systems involved in the testing / event;
 iv) root cause and lessons learned (i.e. has the organisation identified the cause of the issue/event); and
 v) remediation activities that have occurred post-testing / event. "	No	Yes		Yes		Yes			
ACC-09	18	Access Control	API access and authentication requirements are documented and enforced.	API access and authentication requirements are documented and enforced, to ensure that access to SCB data through APIs is appropriately restricted.	"ACC-09.01 - Documentation Requirements:
(a) Please provide formal documentation* (e.g. policy/procedure/standard) of your organisation's processes on API authentication.

*Note: Formal documentation includes any document which is periodically reviewed and approved by senior management and is distributed or made available to employees (i.e. through email, training or posted to Intranet site). 
  
ACC-09.02 - API Access Management
(a) Please provide information as to how the organisation manages access to any APIs which transmit SCB data outside of your corporate network, including how the following requirements are met:
i) Whether APIs are configured to deny by default
ii) Whether APIs allow authentication of users through the sole use of API keys (rather than API tokens)
iii) Whether API credentials are configured to expire
iv) How access provisioned to API keys is configured to align in least privilege
v) What requirements are applied to authentication tokens
vi) What authentication protocols are used for APIs

Please provide information as to how your organisation revokes API keys in the event that keys are suspected to be compromised.

ACC-09.03 - Any control weaknesses identified?
(a) Please confirm whether any control weaknesses or failures has been identified for this control within the past 12 months (e.g. through testing or a security event).

If yes, please provide the following information:
 i) date and time of the testing / event;
 ii) the nature of the testing / event;
 iii) the data/systems involved in the testing / event;
 iv) root cause and lessons learned (i.e. has the organisation identified the cause of the issue/event); and
 v) remediation activities that have occurred post-testing / event. "		Yes		Yes		No			
PHY-01	19	Physical Security	There are physical security mechanisms in place to restrict access to work areas, facilities, and locations in use by your organisation to process, store, or transmit SCB data.	Physical security mechanisms are deployed to ensure facilities which process, store, or transmit SCB data are adequately protected from physical intrusion or unauthorised access. 	"PHY-01.01 - Documentation Requirements:
(a) Please provide formal documentation* (e.g. policy/procedure/standard) of your organisation's processes on physical security to ensure the organisation controls and monitors physical access to assets and facilities which access, process, or store SCB data.

*Note: Formal documentation includes any document which is periodically reviewed and approved by senior management and is distributed or made available to employees (i.e. through email, training or posted to Intranet site). 

PHY-01.02 - Physical security mechanisms 
(a) Please provide information and supporting evidence to demonstrate that physical security mechanisms are in place to secure facilities and locations used by your organisation to access, process, or store SCB data. Examples of such mechanisms include (but are not limited to) badge readers, gates, man-traps, turnstiles, bollards, and/or security guards.

PHY-01.03 - Physical security monitoring
(a) Please provide information regarding how your organisation monitors the above-mentioned physical security mechanisms to detect potential physical security events or breaches.

The control below is only applicable if services are provided to SCB from Singapore:

PHY-01.04 - Threat and Vulnerability Risk Assessment
(a) Please provide information and supporting evidence to demonstrate that your organisation has performed a Threat and Vulnerability Risk Assessment (TVRA) for its buildings and data centres (whether on-premise or third party hosted). The TVRA documentation should comprise the following aspects:
 i) The scope covers the data centres, server rooms, and any other controlled areas housing customer or sensitive information (e.g. hardcopy customer information, procedural documents, contractual documentation). 
 ii) Information on daily security procedures, critical mechanical and engineering systems, building and structural elements, and physical security controls.
 iii) Political and economic climate of the location(s) in which the data centres are located. 
 iv) Various possible scenarios of threats including theft, explosives, arson, unauthorised entry, external attacks, and insider sabotage.
 v) Date on which it was last performed, reviewed, and approved.


PHY-01.05 - Any control weaknesses identified?
(a) Please confirm whether any control weaknesses or failures has been identified for this control within the past 12 months (e.g. through testing or a security event).

If yes, please provide the following information:
 i) date and time of the testing / event;
 ii) the nature of the testing / event;
 iii) the data/systems involved in the testing / event;
 iv) root cause and lessons learned (i.e. has the organisation identified the cause of the issue/event); and
 v) remediation activities that have occurred post-testing / event. 
"	No	Yes		Yes		Yes			
PHY-02	20	Physical Security	The physical access rights to facilities which process, store, or transmit SCB data including external parties (e.g. Cloud Service Provider administrators, independent auditors, vendor technical support personnel) are approved and managed.	Physical access rights are approved and managed ensure facilities which process, store, or transmit SCB data are adequately protected from unauthorized physical access.	"PHY-02.01 - Documentation Requirements:
(a) Please provide formal documentation* (e.g. policy/procedure/standard) of your organisation's processes on physical security to ensure the organisation manages physical access to assets and facilities which access, process, or store SCB data. 

*Note: Formal documentation includes any document which is periodically reviewed and approved by senior management and is distributed or made available to employees (i.e. through email, training or posted to Intranet site). 

PHY-02.02 - Authorisation of physical access - general (sampling required)
(a) Please provide information on how your organisation provisions physical access to facilities and locations used to access, process, store, or transmit SCB data (e.g. via issuance of security badges). 
i) Provide a pre-approved list of employees with authorised access to facilities and locations used to  process, store or transmit SCB data 

(b) Please provide a list of employees (e.g. new hires) who were provisioned physical access to facilities and locations in use by the organisation to access, process, store or transmit SCB data within the last 12 months.

(c) For a sample of employees from the list above, please provide evidence to demonstrate the following aspects:
 i) Date when physical access to in-scope facilities and locations was requested.
 ii) Date when such access was approved.
 iii) Name and job title of the physical access approver.

PHY-02.03 - Authorisation of physical access - movers and leavers (sampling required)
(a) Please provide a complete listing of movers (i.e. employees transferring roles within your organisation) and leavers (i.e. resigned / terminated employees) for the past 12 month period.

(b) For a sample of movers, please provide evidence to demonstrate that relevant physical access permissions are removed within 24 hours of the employee's last working day in the legacy role.

(c) For a sample of leavers, please provide evidence to demonstrate the following aspects: 
 i) HR is notified of the employee's last working day at the organisation (email notification or screenshot of updated HR system details is sufficient).
 ii) Relevant physical access permissions are removed within 24 hours of the employee's last working day in the organisation.


PHY-02.04 - Any control weaknesses identified?
(a) Please confirm whether any control weaknesses or failures has been identified for this control within the past 12 months (e.g. through testing or a security event).

If yes, please provide the following information:
 i) date and time of the testing / event;
 ii) the nature of the testing / event;
 iii) the data/systems involved in the testing / event;
 iv) root cause and lessons learned (i.e. has the organisation identified the cause of the issue/event); and
 v) remediation activities that have occurred post-testing / event. 
"	Yes - Areas of this control will require the sampling of evidence. Please liaise with the assessor and SCB Risk Manager to determine the appropriate sample size.	Yes		Yes		Yes			
PHY-03	21	Physical Security	The physical access rights to facilities which process, store, or transmit SCB data including external parties (e.g. Cloud Service Provider administrators, independent auditors, vendor technical support personnel) are reviewed on a periodic basis. 	Physical access rights are periodically recertified to ensure facilities which process, store, or transmit SCB data are adequately protected from unauthorized physical access.	"PHY-03.01 - Documentation Requirements:
(a) Please provide formal documentation* (e.g. policy/procedure/standard) of your organisation's processes on physical security to ensure the organisation manages physical access to assets and facilities which access, process, or store SCB data. 

*Note: Formal documentation includes any document which is periodically reviewed and approved by senior management and is distributed or made available to employees (i.e. through email, training or posted to Intranet site). 

PHY-03.02 - Physical access reviews (sampling required)
(a) Please provide information on whether your organisation reviews physical access records, including visitor logs, on a monthly basis at a minimum. The records cover all entry and exit at facilities and locations where SCB data is accessed, processed, or stored.

(b) Please provide a sample of access reviews to demonstrate the following aspects:
 i) Date when the physical access review was performed.
 ii) Physical access permissions were validated for each user.
 iii) Physical access that is no longer required were identified and removed (e.g. if the user has changed roles or left the organisation). 

(c) For any users that no longer require physical access as mentioned above, please provide evidence to demonstrate that their access has been removed (e.g. access request change ticket).

PHY-03.03 - Visitor management
(a) Please provide information as to whether visitors are always accompanied by authorised staff while in facilities and locations used to access, process, or store SCB data. 


PHY-03.04 - Any control weaknesses identified?
(a) Please confirm whether any control weaknesses or failures has been identified for this control within the past 12 months (e.g. through testing or a security event).

If yes, please provide the following information:
 i) date and time of the testing / event;
 ii) the nature of the testing / event;
 iii) the data/systems involved in the testing / event;
 iv) root cause and lessons learned (i.e. has the organisation identified the cause of the issue/event); and
 v) remediation activities that have occurred post-testing / event. 
"	Yes - Areas of this control will require the sampling of evidence. Please liaise with the assessor and SCB Risk Manager to determine the appropriate sample size.	Yes		Yes		Yes			
PHY-04	22	Physical Security	Policy and regulations regarding the physical operating environment for organisational assets are met.	The physical operating environment for physical assets is defined in order to ensure assets containing SCB data are protected from physical and environmental threats.	"PHY-04.01 - Documentation Requirements:
(a) Please provide formal documentation* (e.g. policy/procedure/standard) of your organisation's processes on physical and environmental security to ensure the organisation designs its physical and environmental policies and procedures to achieve relevant regulatory requirements.

*Note: Formal documentation includes any document which is periodically reviewed and approved by senior management and is distributed or made available to employees (i.e. through email, training or posted to Intranet site). 

PHY-04.02 - Physical and environmental security requirements
(a) Please provide evidence (e.g. screenshots of central building management console) to demonstrate that physical and environmental controls are implemented to protect locations where SCB data is processed, stored or transmitted, including (but not limited to):
 i) Physical access control
 ii) Smoke and fire suppression
 iii) Power and voltage monitoring
 iv) Temperature control
 v) Humidity control
 vi) Water leak monitoring
If the services are provided to SCB China, item (vii) and (viii) are applicable
  vii) Electromagnetic protection
  viii) Anti static

PHY-04.03 - Any control weaknesses identified?
(a) Please confirm whether any control weaknesses or failures has been identified for this control within the past 12 months (e.g. through testing or a security event).

If yes, please provide the following information:
 i) date and time of the testing / event;
 ii) the nature of the testing / event;
 iii) the data/systems involved in the testing / event;
 iv) root cause and lessons learned (i.e. has the organisation identified the cause of the issue/event); and
 v) remediation activities that have occurred post-testing / event. 
"	No	Yes		No		Yes			
CRY-01	23	Cryptographic Management	Data-at-rest is protected.	"Data at data-at-rest is protected commensurate with the criticality and sensitivity of the information to reduce the risk of unauthorised access to data-at-rest, and potential compromise of the confidentiality and integrity of SCB data. 
"	"CRY-01.01 - Documentation Requirements:
(a) Please provide formal documentation* (e.g. policy/procedure/standard) of your organisation's processes on data classification and protection to describe how you protect data at rest (e.g. through encryption).

*Note: Formal documentation includes any document which is periodically reviewed and approved by senior management and is distributed or made available to employees (i.e. through email, training or posted to Intranet site). 

CRY-01.02 - Data encryption - encryption at rest
(a) Please provide information to demonstrate how the organisation applies encryption to SCB data at rest.

(b) Please provide evidence (e.g. configuration settings of the encryption modules used to encrypt systems/data) to demonstrate the level of protection (i.e. key length AND encryption algorithms) applied to SCB data at rest in your environment.

CRY-01.03 - Data encryption - saving locally (sampling required)
(a) Please confirm whether employees have the ability to store SCB data to the local hard drives of laptops and desktops. If this is not possible, please provide information as to how your organisation prevents data being saved locally (e.g. Active Directory GPO settings, thin client architecture, endpoint protection solutions, etc.). 

(b) If it is possible to store SCB data on the local hard drives of machines, please provide information regarding whether your organisation deploys full disk encryption on Laptops and Desktops, and how this is systematically applied across devices (e.g. through the use of device/volume encryption software).

(c) In addition to the above, please provide a sample (to be selected by assessor) of machines used to access SCB data (e.g. laptops/desktops), to demonstrate whether full-disk encryption is in place on such machines.

CRY-01.04 - Data encryption - mobile devices
(a) Please provide information and evidence as to whether your organisation has the ability, via Mobile Device Management (MDM) software, to remotely wipe smartphones and tablets that have access to SCB data..

(b) Please confirm whether your organisation permits employees to ‘Bring Your Own Device’ (BYOD). If not, the remaining items under this subheader are not required.

(c) If yes, please provide information as to whether SCB data contained on BYOD assets is stored and processed in a secure container (i.e. data is segregated and secured from other data on the device).

(d) In addition to the above, please provide evidence of the management console of your organisation's Mobile Device Management (MDM) software to demonstrate the enforcement of a secure container on BYOD assets.

(e) Please provide evidence whether your organisation has the ability to limit and encrypt the writting of sensitive information into temp files. If yes, please provide information as to whether SCB data contained on temp files is encrpyted/masked and stored securely. If no, please indicate as Not Applicable.

(f) Please provide information and evidence as to whether your organisations' web application content will fail to load if errors are detected during SSL/ TLS negotiation. 

(g) Please provide information and evidence as to whether your organisations' certificate errors will be displayed to user in the event the certificate is not signed by a recognised certificate authority, expired or revoked.


CRY-01.05 - Any control weaknesses identified?
(a) Please confirm whether any control weaknesses or failures has been identified for this control within the past 12 months (e.g. through testing or a security event).

If yes, please provide the following information:
 i) date and time of the testing / event;
 ii) the nature of the testing / event;
 iii) the data/systems involved in the testing / event;
 iv) root cause and lessons learned (i.e. has the organisation identified the cause of the issue/event); and
 v) remediation activities that have occurred post-testing / event. 
"	Yes - Areas of this control will require the sampling of evidence. Please liaise with the assessor and SCB Risk Manager to determine the appropriate sample size.	Yes		Yes		Yes			
CRY-02	24	Cryptographic Management	Data-in-transit is protected.	Data-in-transit is protected, ensuring that SCB data is safeguarded from man-in-the-middle attacks.	"CRY-02.01 - Documentation Requirements:
(a) Please provide formal documentation* (e.g. policy/procedure/standard) of your organisation's processes on data classification and protection to describe how you protect data in transit.  

*Note: Formal documentation includes any document which is periodically reviewed and approved by senior management and is distributed or made available to employees (i.e. through email, training or posted to Intranet site). 

CRY-02.02 - Data encryption - data in transit
(a) Please provide information and supporting evidence on how your organisation applies encryption to protect transfers of SCB data (including emails, internal and external network transfers, and APIs).

(b) Please provide evidence of the encryption configuration settings for network segments used to transfer SCB data (e.g. TLS certificates).

(c) If file encryption is being used to secure data in transit, please provide information and supporting evidence on how your organisation manages the passwords/encryption keys for the transfers, including details on the password/encryption strength.

CRY-02.03 - Any control weaknesses identified?
(a) Please confirm whether any control weaknesses or failures has been identified for this control within the past 12 months (e.g. through testing or a security event).

If yes, please provide the following information:
 i) date and time of the testing / event;
 ii) the nature of the testing / event;
 iii) the data/systems involved in the testing / event;
 iv) root cause and lessons learned (i.e. has the organisation identified the cause of the issue/event); and
 v) remediation activities that have occurred post-testing / event. "	No	Yes		Yes		Yes			
