sys_created_on	u_service_offering_outage_start_time	difference_created_and_outage
28-07-2025 02:20:22	28-07-2025 02:20:00	
3/6/2025 2:13	3/6/2025 2:13	
3/7/2025 5:42	2/7/2025 11:36	
23-09-2025 12:01:31	23-09-2025 12:01:31	
6/5/2025 4:22	6/5/2025 4:00	
24-09-2025 10:27:22	24-09-2025 10:25:26	
25-11-2024 02:02:20	25-11-2024 01:04:00	
26-07-2025 02:53:49	26-07-2025 01:15:00	
7/9/2025 21:27	7/9/2025 21:27	
4/3/2025 4:29	4/3/2025 4:30	
2/3/2025 1:49	28-02-2025 23:55:00	
18-08-2025 01:41:30		
14-11-2024 12:53:54	14-11-2024 12:33:00	
25-05-2025 22:47:50	25-05-2025 22:45:00	
18-12-2024 03:51:13		
16-06-2025 12:13:31	6/5/2025 4:11	
9/7/2025 10:20	9/7/2025 10:10	
21-03-2025 00:26:02	20-03-2025 23:41:00	
2/11/2024 11:43	2/11/2024 11:22	
22-09-2025 05:43:50		
4/4/2025 12:24	4/4/2025 12:24	
5/11/2024 6:48	5/11/2024 6:30	
19-02-2025 09:07:31	19-02-2025 09:07:31	
9/7/2025 1:04	8/7/2025 14:18	
10/8/2025 1:10		
24-10-2024 06:40:33	24-10-2024 06:29:53	
8/11/2024 1:40	8/11/2024 1:00	
20-02-2025 08:02:11	20-02-2025 07:00:00	
2/9/2025 7:17	2/9/2025 7:17	
24-11-2024 09:06:18		
13-07-2025 22:14:06	13-07-2025 21:00:00	
28-11-2024 00:57:28	28-11-2024 00:10:00	
14-02-2025 09:19:37	14-02-2025 08:15:00	
29-03-2025 07:35:07	29-03-2025 07:35:07	
14-03-2025 01:06:30	14-03-2025 01:06:29	
2/9/2025 3:34	31-08-2025 05:30:00	
15-04-2025 18:48:40	15-04-2025 18:45:00	
19-02-2025 11:10:16	19-02-2025 11:00:00	
2/9/2025 21:31	2/9/2025 21:03	
6/2/2025 2:00	6/2/2025 1:45	
25-07-2025 02:56:05	25-07-2025 02:27:00	
7/1/2025 3:06	7/1/2025 3:06	
25-03-2025 04:30:01	25-03-2025 04:27:13	
22-08-2025 01:16:55	22-08-2025 01:15:00	
11/2/2025 17:16	11/2/2025 17:16	
14-07-2025 00:26:01	14-07-2025 00:22:36	
8/4/2025 1:42		
24-03-2025 22:18:00	24-03-2025 16:15:00	
2/9/2025 1:58	2/9/2025 1:30	
31-08-2025 07:49:01	31-08-2025 07:00:00	
6/5/2025 4:11	6/5/2025 4:11	
10/7/2025 9:19	10/7/2025 9:19	
18-07-2025 02:56:35		
24-09-2025 02:03:55	24-09-2025 02:03:55	
10/4/2025 19:22	10/4/2025 18:28	
6/1/2025 1:54	6/1/2025 1:54	
5/7/2025 2:01	5/7/2025 2:01	
18-09-2025 00:30:09	17-09-2025 23:45:00	
16-07-2025 12:47:40	16-07-2025 12:47:40	
30-12-2024 07:37:43	30-12-2024 07:35:50	
27-06-2025 01:38:34	27-06-2025 01:38:34	
18-07-2025 06:33:35		
21-09-2025 04:59:58	21-09-2025 10:01:00	
4/3/2025 9:30	4/3/2025 9:29	
8/2/2025 16:16	8/2/2025 16:00	
18-11-2024 18:16:04	18-11-2024 18:16:04	
7/4/2025 23:14	7/4/2025 23:14	
23-09-2025 14:55:41		
11/7/2025 0:51	11/7/2025 2:48	
16-03-2025 17:18:27		
30-09-2025 21:41:15	30-09-2025 21:41:15	
23-09-2025 01:17:02	23-09-2025 01:17:02	
23-06-2025 07:24:12	23-06-2025 07:22:05	
16-08-2025 08:02:54	16-08-2025 07:29:00	
11/6/2025 8:08	11/6/2025 8:05	
21-02-2025 03:08:54	21-02-2025 03:08:54	
4/8/2025 8:47	4/8/2025 8:47	
15-10-2024 00:23:50	15-10-2024 00:00:00	
20-06-2025 11:38:18	20-06-2025 11:34:46	
2/1/2025 1:53	2/1/2025 1:40	
23-10-2024 17:12:43	23-10-2024 17:12:43	
5/6/2025 5:47	5/6/2025 5:28	
25-02-2025 05:09:06	25-02-2025 05:07:28	
25-07-2025 06:20:44	25-07-2025 06:19:38	
16-01-2025 12:11:34	16-01-2025 11:28:00	
2/6/2025 9:42	2/6/2025 9:17	
1/3/2025 11:16	1/3/2025 11:15	
28-02-2025 07:38:32	28-02-2025 07:34:20	
1/3/2025 14:23	22-02-2025 16:37:00	
8/10/2024 7:24	8/10/2024 6:50	
31-08-2025 14:23:31	31-08-2025 14:19:43	
28-07-2025 18:05:32	27-07-2025 00:00:00	
15-05-2025 01:16:05	15-05-2025 01:14:00	
15-09-2025 11:45:01		
28-07-2025 03:37:15		
8/4/2025 0:21	8/4/2025 0:21	
26-05-2025 16:23:47	26-05-2025 15:30:00	
24-10-2024 05:41:26		
8/8/2025 17:23	8/8/2025 17:00	
11/8/2025 4:03	11/8/2025 4:03	
29-04-2025 02:43:19	29-04-2025 02:43:19	
22-10-2024 12:20:27	22-10-2024 12:20:00	
18-08-2025 11:22:40	18-08-2025 11:22:40	
29-09-2025 07:15:13	29-09-2025 07:15:00	
3/12/2024 3:24	3/12/2024 2:26	
2/10/2024 8:39	2/10/2024 8:39	
4/7/2025 2:35	4/7/2025 2:24	
16-02-2025 08:49:25	16-02-2025 08:49:25	
29-11-2024 12:22:18	29-11-2024 11:23:00	
13-08-2025 23:51:24	13-08-2025 17:30:00	
25-11-2024 05:51:42		
27-05-2025 14:17:57	27-05-2025 14:17:57	
7/1/2025 7:02	7/1/2025 6:38	
23-01-2025 00:17:19	23-01-2025 00:00:00	
27-03-2025 00:43:12	27-03-2025 00:42:18	
5/10/2024 15:47	5/10/2024 15:47	
16-07-2025 15:25:08	16-07-2025 14:37:00	
11/9/2025 4:44	11/9/2025 3:45	
21-03-2025 08:04:00	21-03-2025 08:04:00	
13-09-2025 10:48:01	13-09-2025 10:20:00	
6/4/2025 23:01	6/4/2025 22:13	
1/10/2024 3:29	1/10/2024 3:29	
2/6/2025 13:27		
3/2/2025 9:59	3/2/2025 2:12	
24-03-2025 01:00:05	24-03-2025 01:00:05	
3/10/2024 9:55	3/10/2024 9:54	
9/10/2024 4:01	8/10/2024 11:00	
25-05-2025 05:03:45	25-05-2025 05:01:34	
16-11-2024 21:34:58	16-11-2024 21:23:46	
14-11-2024 12:07:20	14-11-2024 12:07:00	
18-11-2024 04:49:44	16-11-2024 05:08:44	
20-01-2025 09:02:04	20-01-2025 08:15:00	
3/7/2025 11:57	3/7/2025 10:40	
1/4/2025 16:24	1/4/2025 16:22	
25-06-2025 01:18:24	25-06-2025 01:18:24	
14-07-2025 07:11:21	14-07-2025 07:11:21	
16-06-2025 03:30:41	16-06-2025 03:30:41	
14-10-2024 13:31:09	14-10-2024 13:31:00	
1/9/2025 14:52	1/9/2025 0:00	
22-09-2025 01:35:31	22-09-2025 01:35:31	
